TEAM_ID,TEAM_NAME,SEASON,games_played,wins,losses,avg_pts,avg_ast,avg_reb,avg_fg_pct,avg_fg3_pct,avg_ft_pct
1610612752,New York Knicks,2015,82,32,50,98.35365853658537,20.51219512195122,44.36585365853659,44.009756097560974,34.296341463414635,81.04024390243903
1610612752,New York Knicks,2016,82,31,51,104.34146341463415,21.78048780487805,45.19512195121951,44.826829268292684,34.88780487804878,78.63780487804878
1610612752,New York Knicks,2017,82,29,53,104.46341463414635,23.317073170731707,44.03658536585366,46.47439024390244,35.25853658536585,78.68170731707318
1610612752,New York Knicks,2018,82,17,65,104.57317073170732,20.073170731707318,44.73170731707317,43.34878048780488,33.91463414634146,76.00121951219512
1610612752,New York Knicks,2019,66,21,45,105.8030303030303,22.060606060606062,46.5,44.74393939393939,33.82727272727273,69.68787878787879
1610612752,New York Knicks,2020,72,41,31,107.02777777777777,21.40277777777778,45.138888888888886,45.67083333333334,39.12777777777778,78.59166666666665
1610612752,New York Knicks,2021,82,37,45,106.47560975609755,21.865853658536587,46.1219512195122,43.697560975609754,35.66829268292683,74.31951219512194
1610612752,New York Knicks,2022,82,47,35,116.02439024390245,22.926829268292682,46.59756097560975,47.10731707317073,35.38414634146341,75.87926829268294
1610612752,New York Knicks,2023,82,50,32,112.79268292682927,24.365853658536587,45.170731707317074,46.62926829268292,36.94634146341463,78.18414634146342
1610612752,New York Knicks,2024,82,51,31,115.78048780487805,27.48780487804878,42.646341463414636,48.66707317073171,36.62317073170732,80.12926829268294
1610612752,New York Knicks,2025,37,24,13,119.70270270270271,26.945945945945947,45.810810810810814,47.35135135135135,38.34054054054054,81.11891891891891
1610612753,Orlando Magic,2010,82,52,30,99.20731707317073,19.951219512195124,43.207317073170735,46.13414634146341,36.13048780487805,69.9560975609756
1610612753,Orlando Magic,2011,66,37,29,94.16666666666667,20.015151515151516,42.45454545454545,44.05,37.36666666666667,65.81060606060606
1610612753,Orlando Magic,2012,82,20,62,94.1219512195122,22.817073170731707,42.707317073170735,44.85,32.24146341463415,76.0548780487805
1610612753,Orlando Magic,2013,82,23,59,96.51219512195122,21.048780487804876,42.048780487804876,44.602439024390236,35.36585365853659,76.45243902439024
1610612753,Orlando Magic,2014,82,25,57,95.6951219512195,20.634146341463413,41.81707317073171,45.359756097560975,34.786585365853654,73.63536585365854
1610612753,Orlando Magic,2015,82,35,47,102.0609756097561,23.573170731707318,43.31707317073171,45.673170731707316,34.97560975609756,75.81585365853658
1610612753,Orlando Magic,2016,82,29,53,101.07317073170732,22.195121951219512,43.18292682926829,44.00487804878049,32.87073170731708,74.83780487804877
1610612753,Orlando Magic,2017,82,25,57,103.40243902439025,23.426829268292682,41.63414634146341,45.296341463414635,34.80121951219512,76.18658536585366
1610612753,Orlando Magic,2018,82,42,40,107.3170731707317,25.548780487804876,45.41463414634146,45.42926829268293,35.69146341463414,78.20243902439024
1610612753,Orlando Magic,2019,73,33,40,107.27397260273973,23.931506849315067,44.50684931506849,44.44657534246575,34.24657534246575,76.65753424657534
1610612753,Orlando Magic,2020,72,21,51,104.0,21.819444444444443,45.44444444444444,42.919444444444444,33.90277777777778,77.58333333333334
1610612753,Orlando Magic,2021,82,22,60,104.23170731707317,23.74390243902439,44.28048780487805,43.40365853658537,32.98048780487805,78.77560975609757
1610612753,Orlando Magic,2022,82,34,48,111.41463414634147,23.24390243902439,43.24390243902439,47.14512195121951,34.807317073170736,78.46341463414635
1610612753,Orlando Magic,2023,82,47,35,110.46341463414635,24.670731707317074,42.30487804878049,47.77682926829268,35.22317073170731,75.86951219512196
1610612753,Orlando Magic,2024,82,41,41,105.42682926829268,23.01219512195122,41.84146341463415,44.582926829268295,31.660975609756097,77.72317073170731
1610612753,Orlando Magic,2025,38,21,17,116.57894736842105,26.36842105263158,44.81578947368421,46.86578947368421,33.660526315789475,78.35526315789473
1610612754,Indiana Pacers,2010,82,37,45,99.79268292682927,19.646341463414632,43.548780487804876,44.413414634146335,34.985365853658536,77.82317073170731
1610612754,Indiana Pacers,2011,66,42,24,97.71212121212122,18.606060606060606,43.878787878787875,43.8969696969697,36.70151515151515,78.22272727272728
1610612754,Indiana Pacers,2012,82,49,33,93.58536585365853,20.0609756097561,45.292682926829265,43.758024691358024,34.92345679012346,74.9567901234568
1610612754,Indiana Pacers,2013,82,56,26,96.7439024390244,20.134146341463413,44.69512195121951,45.00365853658537,35.63170731707317,77.91341463414635
1610612754,Indiana Pacers,2014,82,38,44,97.32926829268293,21.426829268292682,44.853658536585364,44.06463414634147,35.21341463414634,75.79146341463415
1610612754,Indiana Pacers,2015,82,45,37,102.15853658536585,21.23170731707317,44.21951219512195,45.07317073170732,34.88292682926829,76.33292682926829
1610612754,Indiana Pacers,2016,82,42,40,105.09756097560975,22.48780487804878,42.0,46.59146341463414,37.15365853658537,80.60487804878049
1610612754,Indiana Pacers,2017,82,48,34,105.5609756097561,22.182926829268293,42.34146341463415,47.307317073170736,36.576829268292684,78.14512195121951
1610612754,Indiana Pacers,2018,82,48,34,108.01219512195122,25.951219512195124,43.02439024390244,47.619512195121956,37.23658536585366,75.1609756097561
